MEMBER,,TYPE,TEXT,規格書
POR045D,已下載,DSPF,供應商採購彙總表                            A1139,
POR045P,已下載,PRTF,供應商採購彙總表                            A1139,
POR047D,已下載,DSPF,國外採購到貨成本單,
POR047P,已下載,PRTF,國外採購到貨成本單                          A1118,
POR048AP,已下載,PRTF,採購完稅明細表                              A1005,
POR048BP,已下載,PRTF,採購完稅明細表                              A1005,
POR048D,已下載,DSPF,採購完稅明細表                              A1005,
POR049D,已下載,DSPF,國外採購 ETD 狀況表                         A1005,
POR049P,已下載,PRTF,國外採購 ETD 狀況表                         A1005,
POR050AP,已下載,PRTF,驗收單明細表         920721                 A1087,
POR050BP,已下載,PRTF,驗收單明細表         920721                 A1087,
POR050D,已下載,DSPF,驗收單明細表                                A1087,
POR051D,已下載,DSPF,產品低於安全庫存量報表,
POR051P,已下載,PRTF,產品低於安全庫存量報表,
POR052D,已下載,DSPF,供應商採購明細表,
POR052P,已下載,PRTF,供應商採購明細表,
POR053D,已下載,DSPF,供應商採購驗收明細表,
POR053P,已下載,PRTF,供應商採購驗收明細表,
POR054D,已下載,DSPF,供應商採購完稅彙總表,
POR054P,已下載,PRTF,供應商採購完稅彙總表,
POR055D,已下載,DSPF,供應商到貨完稅狀況表,
POR055P,已下載,PRTF,供應商到貨完稅狀況表,
POR056D,已下載,DSPF,國內驗收金額月彙總表,
POR056P,已下載,PRTF,國內驗收金額月彙總表,
POR057D,已下載,DSPF,建議產品採購表,
POR057P,已下載,PRTF,建議產品採購表,
POR058D,已下載,DSPF,國內供應商進貨明細表,
POR058P,已下載,PRTF,國內供應商進貨明細表,
POR059D,已下載,DSPF,國外到貨統計年報,
POR059P,已下載,PRTF,國外到貨統計年報,
POR060AP,已下載,PRTF,完稅產品空瓶重量表,
POR060BP,已下載,PRTF,完稅產品空瓶重量表,
POR060D,已下載,DSPF,完稅產品空瓶重量表,
POR061D,已下載,DSPF,國內進貨報價明細表,
POR061P,已下載,PRTF,國內進貨報價明細表,
POR062D,已下載,DSPF,國外採購成本差異表,
POR062P,已下載,PRTF,國外採購成本差異表,
POR063D,已下載,DSPF,匯東進貨成本一覽表,
POR063P,已下載,PRTF,匯東進貨成本一覽表,
POR064P,已下載,PRTF,匯東進貨成本差異表,
POR065D,已下載,DSPF,建議產品採購表含可用量,
