MEMBER,,TYPE,TEXT,規格書
ARR077,已下載,RPG,折讓單簽收明細表 (SCREEN CHECK),
ARR0771,已下載,RPG,折讓單簽收明細表 (WRITE WORK FILE),
ARR078,已下載,RPG,調整原因分析表 (SCREEN CHECK),
ARR0781,已下載,RPG,調整原因分析表 (WRITE WORK FILE),
ARR0782,已下載,RPG,調整原因分析表 (PRINT REPORTS),
ARR0783,已下載,RPG,調整原因分析表 (PRINT REPORTS),
ARR0784,已下載,RPG,調整原因分析表 (PRINT REPORTS),
ARR079,已下載,RPG,票據兌現明細表 (SCREEN CHECK),
ARR0791,已下載,RPG,票據兌現明細表 (PRINT REPORTS),
ARR0792,已下載,RPG,票據兌現明細表 (PRINT REPORTS),
ARR080,已下載,RPG,發票日期帳齡分析表 (SCREEN CHECK),
ARR0801,已下載,RPG,發票日期帳齡分析表 (WRITE WORK FILE),
ARR08011,已下載,RPG,發票日期帳齡分析表 (updat WORK FILE+aradpf),
ARR08012,已下載,RPG,發票日期帳齡分析表 (updat WORK FILE+arafpf),
ARR08013,已下載,RPG,發票日期帳齡分析表 (updat WORK FILE+aracpf),
ARR08014,已下載,RPG,發票日期帳齡分析表 (updat WORK FILE+aracpf),
ARR0802,已下載,RPG,發票日期帳齡分析表 (PRINT REPORTS),
ARR082,已下載,RPG,帳齡排行榜 (SCREEN CHECK),
ARR0821,已下載,RPG,帳齡排行榜 (WRITE WORK FILE),
ARR08211,已下載,RPG,帳齡排行榜 (updat WORK FILE+aradpf),
ARR08212,已下載,RPG,帳齡排行榜 (updat WORK FILE+arafpf),
ARR08214,已下載,RPG,帳齡排行榜 (updat WORK FILE+aracpf),
ARR0822,已下載,RPG,帳齡排行榜 (PRINT REPORTS),
ARR083,已下載,RPG,收款未分配明細表 (SCREEN CHECK),
ARR0831,已下載,RPG,收款未分配明細表  (PRINT REPORTS),
ARR090,已下載,RPG,應收日期帳齡分析表 (SCREEN CHECK),
ARR0901,已下載,RPG,應收日期帳齡分析表 (WRITE WORK FILE),
ARR09011,已下載,RPG,應收日期帳齡分析表 (updat WORK FILE+aradpf),
ARR09012,已下載,RPG,應收日期帳齡分析表 (updat WORK FILE+arafpf),
ARR09013,已下載,RPG,應收日期帳齡分析表 (updat WORK FILE+aracpf),
ARR09014,已下載,RPG,應收日期帳齡分析表 (updat WORK FILE+aracpf),
ARR0902,已下載,RPG,應收日期帳齡分析表 (PRINT REPORTS),
ARR092,已下載,RPG,已拋轉發票彙總報表 (SCREEN CHECK),
ARR0921,已下載,RPG,已拋轉發票彙總報表,
ARR0922,已下載,RPG,已拋轉發票彙總報表,
ATN02,已下載,RPG,萬年曆,
ATN03,已下載,RPG,起動印表機,
ATN04,已下載,RPG,列表機列印順序,
BAA150,已下載,RPG,供應商零件基本資料維護                      A1034,
BAS140,已下載,RPG,供應商基本資料全頁查詢                      A1062,
CHKSDSO,已下載,RPG,檢測試飲及回收數量,
CHKSIAD,已下載,RPG,檢測發票及收款 (PRINT REPORTS),
CHK001,已下載,RPG,檢核月檔沖帳檔 (SCREEN CHECK),
CHK0011,已下載,RPG,檢核月檔沖帳檔 (PRINT REPORTS),
CHK002,已下載,RPG,cpysplf batch,
CKA150,已下載,RPG,票據兌現維護,
CKR3D1,已下載,RPG,收現記錄列印                                A1092,
CKR3D3,已下載,RPG,收現記錄列印                                A1092,
CLR001,已下載,RPG,進銷項系統檔案整理作業,
CLR0011,已下載,RPG,進銷項系統檔案整理作業一,
CLR0012,已下載,RPG,進銷項系統檔案整理作業二,
CLR0013,已下載,RPG,進銷項系統檔案整理作業三,
CLR0014,已下載,RPG,進銷項系統檔案整理作業四,
CLR0015,已下載,RPG,進銷項系統檔案整理作業五,
CUNDAT,已下載,RPG,計算日期之前一日,
DCM0011,已下載,RPG,捷盟發票下載程式,
DMA0041,已下載,RPG,發票作廢重開維護－重開 *                    A1118,
DPA001,已下載,RPG,產品牌價資料維護                            A1087,
DPA002,已下載,RPG,產品成本資料維護                            A1139,
DPA003,已下載,RPG,錯誤統一發票重開,
DPA0031,已下載,RPG,錯誤統一發票重開    /,
DPA004,已下載,RPG,產品成本資料維護                            A1139,
DPA005,已下載,RPG,康齡產品成本資料維護,
DPA042,已下載,RPG,歷史檔案整理                                A1034,
DPA043,已下載,RPG,copy file from reflib to reflibtst,
DPB002,已下載,RPG,採購檔年度整檔批次                          A1034,
DPB002S,已下載,RPG,採購檔年度整檔批次                          A1034,
DPI021,已下載,RPG,成本調整狀況                                A1087,
DWPC01,已下載,RPG,月產品銷售（退）統計表 (SCREEN CHECK),
DWPC011,已下載,RPG,月產品銷售（退）統計表 (WRITE WORK FILE),
DWPC012,已下載,RPG,月產品銷售（退）統計表 (PRINT REPORTS),
DWPC013,已下載,RPG,月產品銷售（退）統計表 (WRITE WORK FILE),
DWPC014,已下載,RPG,月產品銷售（退）統計表 (PRINT REPORTS),
DWPC02,已下載,RPG,產品庫存量表－含專櫃＆在途量 (SCREEN CHECK),
DWPC021,已下載,RPG,產品庫存量表－含專櫃＆在途量 (WORK FILE),
DWPC022,已下載,RPG,產品庫存量表－含專櫃＆在途量 (PRINT REPORTS),
DWPC03,已下載,RPG,客戶簡明表 (SCREEN CHECK),
DWPC031,已下載,RPG,客戶簡明表 (PRINT REPORTS),
HBP2CVT,已下載,RPG,BP2000 - RPG program for add/rmv century & shift,
HBP2CVTF,已下載,RPG,BP2000 - Copy RPG contains USA flip year routines,
HBP2CVTN,已下載,RPG,BP2000 - RPG program for add/rmv century & shift,
HBP2CVTR,已下載,RPG,"BP2000 - Copy RPG contains ADD & RMV century, SHF",
HBP2CVTRN,已下載,RPG,"BP2000 - Copy RPG contains ADD & RMV century, SHF",
