MEMBER,,TYPE,TEXT,規格書
MTR041C1,已下載,CLP,產品清冊列印,
MTR042C,已下載,CLP,供應商清冊列印                              A1005,
MTR042C1,已下載,CLP,供應商清冊列印                              A1005,
MTR043C,已下載,CLP,客戶清冊                                    A1139,
MTR043C1,已下載,CLP,客戶清冊                                    A1139,
MTR044C,已下載,CLP,客戶信用明細表                              A1139,
MTR044C1,已下載,CLP,客戶信用明細表                              A1139,
MTR045C,已下載,CLP,員工清冊列印                                A1087,
MTR045C1,已下載,CLP,員工清冊列印                                A1087,
MTR046C,已下載,CLP,禮盒結構資料清冊                            A1139,
MTR046C1,已下載,CLP,禮盒結構資料清冊                            A1139,
MTR047C,已下載,CLP,業務員輪調客戶報表                           0121,
MTR047C1,已下載,CLP,業務員輪調客戶報表                           0121,
MTR048C,已下載,CLP,客戶簡明表                                   0121,
MTR048C1,已下載,CLP,客戶簡明表                                   0121,
MTR049C,已下載,CLP,供應商產品一覽表                            A1084,
MTR049C1,已下載,CLP,供應商產品一覽表                            A1084,
MTR050C,已下載,CLP,新增產品一覽表,
MTR050C1,已下載,CLP,新增產品一覽表,
MTR051C,已下載,CLP,產品簡明表                                   0070,
MTR051C1,已下載,CLP,產品簡明表　　　                             0070,
MTR052C,已下載,CLP,收款用客戶明細表                             0074,
MTR052C1,已下載,CLP,收款用客戶明細表                             0074,
MTR053C,已下載,CLP,新增客戶一覽表,
MTR053C1,已下載,CLP,新增客戶一覽表,
MTR054C,已下載,CLP,產品搭贈清冊列印,
MTR054C1,已下載,CLP,產品搭贈清冊列印,
MTR055C,已下載,CLP,客戶搭贈清冊                                A1139,
MTR055C1,已下載,CLP,客戶搭贈清冊                                A1139,
MTR056C,已下載,CLP,產品基本資料卡列印,
MTR056C1,已下載,CLP,產品基本資料卡列印,
MUNC,已下載,CLP,管理資訊系統主畫面 -user,
MUN000C,已下載,CLP,管理資訊系統主畫面 -user,
OCR2101C,已下載,CLP,MODEL COMPONENT LIST                        HBPGMR,
PAM000C,已下載,CLP,代碼資料維護主畫面                          A1005,
PAR001C,已下載,CLP,公司別資料列印                              A1005,
PAR001C1,已下載,CLP,公司別資料列印                              A1005,
PAR002C,已下載,CLP,代碼資料列印                                A1118,
PAR002C1,已下載,CLP,代碼資料列印                                A1118,
PAR003C,已下載,CLP,銷售通路型態碼資料列印  upd by stephanie    A1005,
PAR003C1,已下載,CLP,銷售通路型態碼資料列印  upd by stephanie    A1005,
PAR004C,已下載,CLP,銷售地區碼資料列印                          A1005,
PAR004C1,已下載,CLP,銷售地區碼資料列印                          A1005,
PAR005C,已下載,CLP,銷售地區區域碼資料列印                      A1005,
PAR005C1,已下載,CLP,銷售地區區域碼資料列印                      A1005,
PAR007C,已下載,CLP,代碼資料列印－數字                          A1118,
PAR007C1,已下載,CLP,代碼資料列印－數字                          A1118,
PAR010C,已下載,CLP,部門品牌對照資料列印  upd by stephanie    A1005,
PAR010C1,已下載,CLP,部門品牌對照資料列印  upd by stephanie    A1005,
PAR011C,已下載,CLP,部門成本中心對照資料列印,
PAR011C1,已下載,CLP,部門成本中心對照資料列印,
PAR012C,已下載,CLP,試飲Ａ＆Ｐ對照資料列印,
PAR012C1,已下載,CLP,試飲Ａ＆Ｐ對照資料列印,
PAR013C,已下載,CLP,業務員部門對照資料列印,
PAR013C1,已下載,CLP,業務員部門對照資料列印,
PAR014C,已下載,CLP,銷售大區域碼資料列印,
PAR014C1,已下載,CLP,銷售大區域地區碼資料列印,
PAR015C,已下載,CLP,銷售大區域地區碼資料列印,
PAR015C1,已下載,CLP,銷售大區域地區碼資料列印,
PAR018C,已下載,CLP,新產品種類代碼列印                          A1118,
PAR018C1,已下載,CLP,新產品種類代碼列印                          A1118,
PAR019C,已下載,CLP,ＡＭＰ代碼列印                              A1118,
PAR019C1,已下載,CLP,ＡＭＰ代碼列印                              A1118,
PAR020C,已下載,CLP,試飲ＡＭＰ對照資料列印,
PAR020C1,已下載,CLP,試飲ＡＭＰ對照資料列印,
PIA004C,已下載,CLP,盤點資料清除,
PIB002C,已下載,CLP,專櫃銷售年終成本庫存調整－調整,
PIB002CS,已下載,CLP,專櫃銷售年終成本庫存調整－調整,
PIB003C,已下載,CLP,專櫃銷售年終成本庫存更新－銷售,
PIB004C,已下載,CLP,專櫃盤點年終成本庫存更新－盤點,
PIB006C,已下載,CLP,專櫃採購月底成本庫存更新－採購,
PIM000C,已下載,CLP,盤點作業系統主畫面                          A1005,
PIR041C,已下載,CLP,盤點單列印                                  A1087,
PIR041C1,已下載,CLP,盤點單列印                                  A1087,
PIR042C,已下載,CLP,盤點清冊                                    A1087,
PIR042C1,已下載,CLP,盤點清冊                                    A1087,
PIR043C,已下載,CLP,盤盈虧表                                    A1087,
PIR043C1,已下載,CLP,盤盈虧表                                    A1087,
PIR044C,已下載,CLP,物流點盤點明細表,
PIR044C1,已下載,CLP,物流點盤點明細表,
PIR045C,已下載,CLP,盤點庫存檢查報表,
PIR045C1,已下載,CLP,盤點庫存檢查報表,
PIR046C,已下載,CLP,年終成本數量列印,
PIR046C1,已下載,CLP,年終成本數量列印,
PIR047C,已下載,CLP,年終成本標準箱數表,
PIR047C1,已下載,CLP,年終成本標準箱數表,
PIR048C,已下載,CLP,年終庫存物流彙總表,
PIR048C1,已下載,CLP,年終庫存物流彙總表,
POA008C,已下載,CLP,採購單批次結案                              A1118,
POA061C,已下載,CLP,採購資料轉歷史檔案                          A1118,
POM000C,已下載,CLP,採購管理系統主畫面                          A1005,
POM001C,已下載,CLP,採購報表系統主畫面                          A1005,
